transaction_id,product_id,category,price,quantity
0,1,furniture,242.77,7
1,1,furniture,1521.976,1
2,1,furniture,2414.795,6
3,2,baby products,1093.089,1
4,1,furniture,5903.606,9
5,2,baby products,5003.65,5
6,1,furniture,1909.473,8
7,1,furniture,1833.632,9
8,1,furniture,5751.498,3
9,2,baby products,5248.853,4
10,2,baby products,828.907,9
11,1,furniture,5254.433,7
12,2,baby products,1317.599,1
13,2,baby products,8308.997,7
14,1,furniture,7169.331,3
15,1,furniture,2741.367,7
16,2,baby products,2384.303,4
17,1,furniture,7563.717,6
18,3,clothing,472.328,3
19,1,furniture,6608.412,7
20,3,clothing,8984.196,9
21,4,video games,6165.253,2
22,1,furniture,5941.947,2
23,4,video games,2558.979,1
24,4,video games,8703.227,9
25,2,baby products,9578.424,7
26,1,furniture,3830.08,3
27,3,clothing,6620.41,1
28,5,music instruments,6872.359,9
29,6,clothing,8189.155,6
30,3,clothing,982.677,6
31,6,clothing,2842.265,4
32,7,sports equipment,4705.436,8
33,3,clothing,2746.838,1
34,4,video games,3245.438,9
35,6,clothing,3849.789,8
36,1,furniture,5311.614,7
37,5,music instruments,38.273,7
38,4,video games,207.722,5
39,8,gardening tools,9663.475,4
40,8,gardening tools,8980.045,5
41,9,electronics,5833.186,4
42,2,baby products,3689.879,8
43,1,furniture,5968.056,3
44,6,clothing,4831.617,1
45,10,jewelry,5882.964,8
46,5,music instruments,5009.932,1
47,11,groceries,3532.92,4
48,2,baby products,4283.827,5
49,10,jewelry,6730.437,6
50,12,automotive,4190.658,8
51,12,automotive,1637.981,1
52,7,sports equipment,993.682,8
53,12,automotive,4764.439,2
54,6,clothing,961.868,6
55,10,jewelry,1229.05,7
56,11,groceries,1809.995,7
57,2,baby products,2754.588,7
58,9,electronics,9050.466,5
59,6,clothing,5448.822,5
60,9,electronics,591.869,7
61,10,jewelry,1954.792,5
62,10,jewelry,1801.084,4
63,11,groceries,3005.608,5
64,3,clothing,8173.354,4
65,13,video games,6345.499,7
66,4,video games,5338.112,2
67,14,automotive,4497.467,8
68,10,jewelry,5879.249,9
69,15,clothing,920.276,3
70,16,home appliances,3374.999,2
71,8,gardening tools,3617.585,8
72,9,electronics,3062.146,6
73,2,baby products,5318.051,6
74,17,sports equipment,7378.809,4
75,15,clothing,9733.784,5
76,4,video games,4009.605,5
77,4,video games,757.173,3
78,15,clothing,8859.362,8
79,7,sports equipment,3235.976,6
80,18,sports equipment,4516.136,1
81,3,clothing,3621.659,2
82,10,jewelry,5209.997,5
83,10,jewelry,7287.229,5
84,4,video games,3529.851,6
85,5,music instruments,1009.683,8
86,19,stationery,911.678,2
87,12,automotive,6918.789,3
88,13,video games,5178.184,5
89,10,jewelry,2527.002,7
90,20,music instruments,5862.923,1
91,21,baby products,8969.868,3
92,22,clothing,2888.283,9
93,12,automotive,855.028,3
94,23,music instruments,4474.925,6
95,17,sports equipment,7380.174,9
96,1,furniture,6209.161,8
97,24,electronics,6898.71,4
98,6,clothing,2484.334,5
99,25,furniture,4547.202,6
100,23,music instruments,9657.917,6
101,26,beauty products,7220.697,8
102,27,video games,7124.39,5
103,28,video games,6913.24,2
104,1,furniture,7865.961,3
105,10,jewelry,2741.347,7
106,1,furniture,8998.17,6
107,3,clothing,2133.349,7
108,29,home appliances,6557.727,1
109,13,video games,1158.454,6
110,30,groceries,1974.31,7
111,31,video games,4294.546,2
112,13,video games,4321.83,4
113,32,stationery,2096.661,4
114,16,home appliances,687.87,6
